author,name,rank,date,duration,id,popularity,album_Name,albumType,releaseDate,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timeSig
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,24,2006,274386,6o3s08kk2fQI37vxGZDrJ1,71,Snap Yo Fingers - Single,single,2006-05-02,False,0.835,0.757,8,-5.029,0,0.23,0.00647,0,0.29,0.626,82.038,4
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",25,2006,229813,7cVmKBwzPsh4Fmb6SplfEm,63,On Top Of Our Game,album,2006-01-01,True,0.886,0.62,5,-5.854,1,0.307,0.082,0,0.1,0.6,76.035,4
Rascal Flatts,What Hurts The Most,26,2006,214106,4bVuIlGQBMWS7vIhcx8Ae4,72,Me And My Gang,album,2006-01-01,False,0.537,0.674,5,-5.134,0,0.0277,0.0088,0,0.265,0.33,136.002,4
The Fray,How To Save A Life,27,2006,262533,5fVZC9GiM4e8vu99W0Xf6J,82,How To Save A Life,album,2005-09-13,False,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
Rihanna,Unfaithful,28,2006,226973,13xxBnXOuiBxVxJI458B0i,74,A Girl Like Me,album,2006-04-10,False,0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.227,0.349,144.069,4
Snow Patrol,Chasing Cars,29,2006,267960,5hnyJvgoWiQUYZttV4wXy6,84,Eyes Open,album,2006-01-01,False,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,4
Hinder,Lips Of An Angel,30,2006,261853,40LQiUUUKXVGyNs09lHVjW,75,Extreme Behavior,album,2005-01-01,False,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,4
Cascada,Everytime We Touch,31,2006,197124,5YJtMNWKe55yr49cyJgxva,75,Everytime We Touch (Premium Edition),album,2010-02-12,False,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,4
Christina Aguilera,Ain't No Other Man,32,2006,228906,7huo2wvrCgRucUsjdSDLQV,66,Back To Basics,album,2006-08-14,False,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,4
Fall Out Boy,"Dance, Dance",33,2006,180266,0a7BloCiNzLDD9qSQHh5m7,80,From Under The Cork Tree,album,2005-05-03,False,0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,4
Kanye West Featuring Jamie Foxx,Gold Digger,34,2006,207626,1PS1QMdUqOal0ai3Gt7sDQ,83,Late Registration,album,2005-08-30,True,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
Ludacris Featuring Pharrell,Money Maker,35,2006,230613,2JpUkUR0OsOlUUfm6iS8ic,63,Release Therapy,album,2006-01-01,True,0.551,0.598,1,-6.79,1,0.27,0.15,0,0.299,0.612,78.756,4
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,36,2006,252653,0k6HUzaRHpQ3eEWr1C7Esh,63,Ms. New Booty,single,2005-01-01,True,0.64,0.62,1,-5.931,1,0.416,0.016,0,0.0831,0.609,129.37,5
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,37,2006,243880,6k8uthjEbttfWXcGaNTQGD,54,Only Hits,compilation,2006-11-07,False,0.711,0.761,8,-3.04,1,0.225,0.067,0,0.041,0.718,95.824,4
Nickelback,Photograph,38,2006,258920,3hb2ScEVkGchcAQqrPLP0R,71,All the Right Reasons,album,2005-09-26,False,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,4
Kelly Clarkson,Because Of You,39,2006,219493,3f3omU8n47Mqyab5nCaGyT,71,Breakaway,album,2004-01-17,False,0.583,0.584,5,-5.362,0,0.0314,0.254,0,0.123,0.136,140.039,4
The Pussycat Dolls,Stickwitu,40,2006,207506,4NjR63Up0uMkQBlKvlZd1l,64,PCD,album,2005-01-01,False,0.655,0.54,9,-6.482,1,0.0516,0.268,0,0.068,0.43,79.983,4
T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),41,2006,239413,2QurCbkPO14pjrikPNja0h,70,Rappa Ternt Sanga (Expanded Edition),album,2005-12-06,True,0.739,0.368,8,-10.233,1,0.0845,0.00542,0,0.171,0.467,144.992,4
The Black Eyed Peas,My Humps,42,2006,309865,0T6lVd2JSk7R803PfCXFJS,0,40 Super Hits Karaoke: Ultimate Hits V2,album,2011-12-11,False,0.855,0.487,1,-13.717,1,0.0998,0.001,0.825,0.176,0.379,124.04,4
Fort Minor Featuring Holly Brook,Where'd You Go,43,2006,231866,7pAT4dOUzjq8Ziap5ShIqC,60,The Rising Tied,album,2005-11-21,True,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,4
Chris Brown,Yo (Excuse Me Miss),44,2006,229040,7DFnq8FYhHMCylykf6ZCxA,75,Chris Brown (Expanded Edition),album,2005,False,0.536,0.612,4,-5.847,1,0.272,0.119,0,0.209,0.57,86.768,4
Kelly Clarkson,Walk Away,45,2006,189306,25sA1vM4BFkTb5cJGWftFo,51,Breakaway,album,2004-01-17,False,0.75,0.888,0,-4.524,1,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973,4
D4L,Laffy Taffy,46,2006,224253,2ajhenDRiiAnCHHjsIOHhJ,73,Down for Life,album,2005-11-08,True,0.891,0.439,7,-7.994,0,0.428,0.0351,0,0.0932,0.622,77.499,4
T.I.,What You Know,47,2006,274333,0CAJdthKDdRjB2h8YOguN6,66,King,album,2006-03-26,True,0.551,0.81,11,-4.365,1,0.0344,0.0155,0,0.169,0.332,73.464,4
The All-American Rejects,Dirty Little Secret,48,2006,193653,5lDriBxJd22IhOH9zTcFrV,73,Move Along,album,2005-01-01,False,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,4
Nickelback,Savin' Me,49,2006,219320,4Gd9PUEuOTOJtbgd4YxLXM,72,All the Right Reasons,album,2005-09-26,False,0.441,0.815,3,-4.088,1,0.0276,0.000731,0,0.414,0.522,164.007,4
Mariah Carey,Don't Forget About Us,50,2006,233866,1HkVSmzBbdZ5Bzdd00IZgh,61,The Emancipation Of Mimi (Ultra Platinum Edition),album,2005-04-12,False,0.699,0.543,10,-6.859,0,0.0383,0.0457,0,0.1,0.431,143.635,4
Ne-Yo,Sexy Love,51,2006,220853,10aWGOqSDBqvNzJ9NeKDbK,73,In My Own Words,album,2006-01-01,False,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,4
E-40 Featuring T-Pain & Kandi Girl,U And Dat,52,2006,202720,7g7M96UGiA7OR79H86gV4m,64,My Ghetto Report Card,album,2006-03-14,True,0.858,0.484,6,-7.448,0,0.277,0.0241,1.8e-06,0.123,0.329,99.992,4
Nickelback,Far Away,53,2006,238173,0ADZ5dmXhlfzjMw6lefoPl,74,All the Right Reasons,album,2005-09-26,False,0.518,0.797,6,-5.153,1,0.0309,0.000681,0,0.107,0.293,132.918,4
Nick Lachey,What's Left Of Me,54,2006,244666,1bPqAXwNiVcM6zjJU1Z4Cd,49,What's Left Of Me,album,2006-01-01,False,0.421,0.728,7,-5.644,1,0.035,0.136,0,0.136,0.311,150.12,4
Field Mob Featuring Ciara,So What,55,2006,216000,0Uc706myy6Th7I6KQ9xA1x,60,Light Poles And Pine Trees,album,2006-01-01,True,0.931,0.486,6,-10.558,1,0.139,0.0579,0,0.161,0.896,120.026,4
Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,56,2006,226293,6MBEjJlXQYXr8dfxDvZuoA,66,Unappreciated,album,2006-01-01,False,0.826,0.67,2,-5.559,1,0.169,0.00798,0,0.495,0.794,74.007,4
KT Tunstall,Black Horse & The Cherry Tree,57,2006,172373,0qAMjeQFyd1qD0LDiV8gWp,67,Eye To The Telescope,album,2005-01-01,False,0.748,0.786,4,-7.788,0,0.0641,0.328,0,0.34,0.917,104.833,4
Juelz Santana,There It Go! (The Whistle Song),58,2006,180493,50UkypyQJbSQLaXHke5Yep,62,What The Game's Been Missing!,album,2005-01-01,True,0.942,0.892,6,-6.363,0,0.196,0.023,0.000897,0.264,0.595,100.007,4
Young Dro Featuring T.I.,Shoulder Lean,59,2006,258680,2OqYarizUUGzSSNHPrDEii,59,Best Thang Smokin' (Explicit Version),album,2006-06-27,True,0.7,0.518,4,-7.191,0,0.177,0.0471,0,0.1,0.542,75.973,4
Jamie Foxx Featuring Ludacris,Unpredictable,60,2006,219866,3UNrtRxBBlWE70SjxnOo02,58,Unpredictable,album,2005-12-20,False,0.734,0.599,9,-8.462,1,0.197,0.206,0,0.0555,0.772,145.185,4
Justin Timberlake Featuring T.I.,My Love,61,2006,276160,4NeOWqHmlrGRuBvsLJC9rL,78,FutureSex/LoveSounds Deluxe Edition,album,2006-09-13,False,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,4
