author,name,rank,date,duration,id,popularity,album_Name,albumType,releaseDate,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timeSig
Katy Perry,Hot N Cold,25,2009,220226,1y4eb6hmAvsqlDOl3fx9kk,73,One Of The Boys,album,2008-06-17,False,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,4
Shinedown,Second Chance,26,2009,222066,0CwYG1UnRmOx8Q1EzElCIL,72,The Sound of Madness,album,2008-06-24,False,0.46,0.796,0,-4.501,0,0.0333,0.00107,0,0.106,0.182,100.011,4
Britney Spears,Circus,27,2009,192360,7jk7gqyEonmVVYahZN5zhW,79,Circus (Deluxe Version),album,2008-12-02,False,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4
Kid Cudi,Day 'N' Nite,28,2009,221240,5wfllwdjglyQislkskYLBv,75,Man On The Moon: The End Of Day (Deluxe),album,2009-01-01,False,0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,4
Miley Cyrus,Party In The U.S.A.,29,2009,202066,5Q0Nhxo0l2bP3pNjpGJwV1,80,The Time Of Our Lives,album,2009-01-01,False,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
3OH!3,Don't Trust Me,30,2009,192573,5jzX4dWVQeBTtfBaXnMRt5,72,WANT,album,2008-07-07,True,0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,4
"Jay-Z, Rihanna & Kanye West",Run This Town,31,2009,267520,7LR85XLWw2yXqKBSI5brbG,81,The Blueprint 3,album,2009-09-08,True,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,4
Kevin Rudolf Featuring Lil Wayne,Let It Rock,32,2009,231173,6TrNRd98WksT9Kkmx9uj6R,68,In The City,album,2008-01-01,True,0.607,0.783,7,-4.41,1,0.0397,0.000683,0,0.0678,0.434,113.172,4
Sean Kingston,Fire Burning,33,2009,239986,2oENJa1T33GJ0w8dC167G4,74,Tomorrow,album,2009-09-07,False,0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,4
Jason Derulo,Whatcha Say,34,2009,221253,67T6l4q3zVjC5nZZPXByU8,69,Jason Derulo,album,2010-02-24,False,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,4
Lady Gaga,LoveGame,35,2009,216333,0TcJ7QWpggdSg8t0fHThHm,72,The Fame,album,2008-01-01,False,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,4
Katy Perry,Waking Up In Vegas,36,2009,199186,6fvxos1qSHrIgOkKw4dhWS,58,One Of The Boys,album,2008-06-17,False,0.524,0.878,5,-3.108,0,0.0346,0.0012,0,0.098,0.59,130.989,4
Jeremih,Birthday Sex,37,2009,226506,4NpDZPwSXmL0cCTaJuVrCw,72,Jeremih,album,2009-01-01,False,0.679,0.522,7,-5.603,0,0.0427,0.297,0,0.151,0.445,60.014,4
P!nk,Sober,38,2009,251533,733ncRLzZQT5UtSPg1QmPc,67,Funhouse (Expanded Edition),album,2008-10-24,False,0.614,0.797,6,-4.896,1,0.0314,0.0635,0,0.187,0.374,90.946,4
Britney Spears,Womanizer,39,2009,224400,4fixebDZAVToLbUCuEloa2,79,Circus (Deluxe Version),album,2008-12-02,False,0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139.0,4
T.I.,Whatever You Like,40,2009,249533,1IAzD1muglOxOcPbUHs70R,77,Paper Trail,album,2008-09-07,True,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,4
Mariah Carey,Obsessed,41,2009,242200,3IcIIZMMS7UArJJPtEHXG8,71,Memoirs of an imperfect Angel,album,2009-09-29,False,0.742,0.468,10,-5.557,0,0.0625,0.0465,0,0.826,0.369,86.443,4
Ne-Yo,Mad,42,2009,254533,6Hn9Uc1mMNfqChXU3txNke,72,Year Of The Gentleman (Bonus Track Edition),album,2008-01-01,False,0.727,0.649,0,-5.356,1,0.0338,0.661,0,0.111,0.669,129.992,4
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,43,2009,196413,7kMfu3KUydmrFVGEAhjtyl,69,Hot Mess,album,2009-07-07,False,0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,4
Kanye West,Love Lockdown,44,2009,270306,1kxeWHF9PrCVZHvVskv8lg,67,808s & Heartbreak,album,2008-11-24,False,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,4
P!nk,So What,45,2009,215160,0JiY190vktuhSGN6aqJdrt,79,Funhouse (Expanded Edition),album,2008-10-24,True,0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,4
Pitbull,Hotel Room Service,46,2009,237600,0OPyDgTRuIdCJ9B4bYSths,75,Pitbull Starring In Rebelution,album,2009-08-27,False,0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4
"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,47,2009,297173,0ltIb83VBPvnGDKg7axXej,54,Curtain Call 2,album,2022-08-05,True,0.71,0.878,6,-2.518,0,0.0964,0.0795,0,0.18,0.399,84.095,4
Beyonce,If I Were A Boy,48,2009,249146,26NX1wPt1TRCH536yocd6i,68,I AM...SASHA FIERCE,album,2008-11-14,False,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,4
Keri Hilson Featuring Lil Wayne,Turnin Me On,49,2009,247800,1jEtDqwYCKpR0mlrMrrITx,46,In A Perfect World...,album,2009-01-01,False,0.675,0.602,1,-4.688,1,0.0596,0.0034,1.28e-05,0.199,0.092,159.994,4
The Pussycat Dolls,I Hate This Part,50,2009,218400,3tSuRiNgJmMqmYR23dCqnR,68,Doll Domination (Deluxe),album,2008-09-23,False,0.756,0.612,5,-4.371,1,0.0317,0.0659,0,0.274,0.452,111.572,4
Nickelback,Gotta Be Somebody,51,2009,252653,06T10fEzN8ZCcqzQZYA184,67,Dark Horse,album,2008-10-28,False,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,4
P!nk,Please Don't Leave Me,52,2009,231560,2gnZad0pb6QtUqMLTj2AjI,64,Funhouse (Expanded Edition),album,2008-10-24,False,0.588,0.845,6,-4.497,1,0.0377,0.00869,0,0.326,0.745,138.014,4
Lady Gaga,Paparazzi,53,2009,208306,7Hqig8kp32q2Ire3ECQvWM,75,The Fame,album,2008-01-01,False,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,4
Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,54,2009,312986,1GLx5tpDdwEFiA7KaikvX2,72,Freedom,album,2008-01-01,False,0.739,0.945,0,-4.443,0,0.0881,0.125,0,0.112,0.627,130.018,4
Coldplay,Viva La Vida,55,2009,242373,1mea3bSkSGXuIRvnydlB5b,89,Viva La Vida or Death and All His Friends,album,2008-05-26,False,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
Akon,Right Now (Na Na Na),56,2009,240746,5Ravsw8TmHN5wBiYPPYUFw,80,Freedom,album,2008-01-01,False,0.829,0.857,8,-4.194,0,0.152,0.26,0,0.415,0.586,137.979,4
Jordin Sparks,Battlefield,57,2009,241920,1Nme6K1PYAh7p7uygyuRdf,57,Battlefield,album,2009-07-20,False,0.613,0.634,2,-3.472,1,0.0339,0.0178,0,0.0719,0.37,144.953,4
Flo Rida Featuring Wynter,Sugar,58,2009,252933,4shgvM4ClrZeDiflNJwlGd,55,R.O.O.T.S. (Route of Overcoming the Struggle),album,2009-03-30,False,0.738,0.868,1,-4.15,1,0.0348,0.0371,0,0.294,0.199,130.003,4
Ne-Yo,Miss Independent,59,2009,232000,34ceTg8ChN5HjrqiIYCn9Q,80,Year Of The Gentleman (Bonus Track Edition),album,2008-01-01,False,0.673,0.683,1,-5.693,1,0.115,0.522,0,0.235,0.713,171.86,4
Owl City,Fireflies,60,2009,228346,3DamFFqW32WihKkTVlwTYQ,80,Ocean Eyes,album,2009-01-01,False,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
Linkin Park,New Divide,61,2009,268613,6Wx88Mv6b9ofjKMKkdwOJd,72,Transformers: Revenge Of The Fallen The Album,compilation,2009-06-12,False,0.493,0.808,5,-3.365,0,0.0362,0.000235,0,0.0983,0.38,117.971,4
Jay-Z + Alicia Keys,Empire State Of Mind,62,2009,276920,2igwFfvr1OAGX9SKDCPBwO,85,The Blueprint 3,album,2009-09-08,True,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4
Daughtry,No Surprise,63,2009,270640,6q4XLE5WeOBWftoc9gTl2P,55,It's Not Over....The Hits So Far,album,2016-02-12,False,0.508,0.823,3,-3.711,1,0.031,0.00741,0,0.104,0.152,95.98,4
Shakira,She Wolf,64,2009,188866,4cS2HQ6jK80vqdY9ofpztx,77,She Wolf (Expanded Edition),album,2009,False,0.865,0.69,7,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,4
Mario Featuring Gucci Mane & Sean Garrett,Break Up,65,2009,249026,4UP5HP7IAnNdxD01g1lzQp,55,D.N.A.,album,2009-10-08,True,0.44,0.517,0,-7.355,1,0.363,0.428,0,0.173,0.475,73.881,4
Beyonce,Sweet Dreams,66,2009,208066,1FKxKGONukVFXWVJxAKmlz,67,I AM...SASHA FIERCE,album,2008-11-14,False,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,4
Young Money,Every Girl,67,2009,315320,6klZDCEsQzMELAPyovvpUw,55,Every Girl,single,2009-01-01,True,0.632,0.73,6,-5.895,0,0.245,0.00316,0,0.397,0.762,76.067,4
Colbie Caillat,Fallin' For You,68,2009,215546,1le5KVGTF1xWf2aUj7ruLy,61,Breakthrough (Deluxe Edition),album,2009,False,0.644,0.834,4,-6.473,1,0.0275,0.156,0,0.112,0.593,117.043,4
The Veronicas,Untouched,69,2009,255360,0KlahhzNb98zyN83Vwae0l,66,Hook Me Up,album,2007-10-30,False,0.557,0.783,6,-4.893,0,0.234,0.0171,0.0172,0.151,0.442,177.008,4
Nickelback,If Today Was Your Last Day,70,2009,249066,4QJLKU75Rg4558f4LbDBRi,71,Dark Horse,album,2008-10-28,False,0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0,0.092,0.568,89.956,4
Fabolous Featuring The-Dream,Throw It In The Bag,71,2009,231573,6c0GmyBsE7mQtrVvxJaWc3,60,Loso's Way,album,2009-01-01,True,0.789,0.55,11,-7.423,0,0.0473,0.174,0,0.0614,0.696,172.049,4
Boys Like Girls,Love Drunk,72,2009,226706,20X9OeC606XNwEtDBOym5u,66,Love Drunk,album,2009-09-07,False,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,4
Asher Roth,I Love College,73,2009,241933,1akgiRM3mN2nxu2AX6ACCW,60,Asleep In The Bread Aisle,album,2009-01-01,True,0.713,0.826,8,-4.075,1,0.243,0.0897,0,0.421,0.664,86.444,4
Britney Spears,If U Seek Amy,74,2009,216520,2hdy9Wt9qp7M7d0U3ossu2,74,Circus (Deluxe Version),album,2008-12-02,False,0.717,0.587,4,-7.296,0,0.0339,0.0192,0,0.0523,0.544,129.954,4
Jason Aldean,Big Green Tractor,75,2009,204200,4KAzYqfcijCSZa2P3etHoM,70,Wide Open,album,2009-04-07,False,0.623,0.59,4,-5.014,1,0.028,0.646,0,0.295,0.579,137.071,4
Taylor Swift,White Horse,76,2009,234515,5YL553x8sHderRBDlm3NM3,73,Fearless (Taylor's Version),album,2021-04-09,False,0.423,0.517,0,-7.377,1,0.0486,0.369,0,0.177,0.366,185.262,4
Rihanna,Disturbia,77,2009,238626,2VOomzT6VavJOGBeySqaMc,81,Good Girl Gone Bad: Reloaded,album,2008-06-02,False,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,4
Green Day,21 Guns,78,2009,321093,64yrDBpcdwEdNY9loyEGbX,78,21st Century Breakdown,album,2009-05-15,False,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
Soulja Boy Tell'em,Turn My Swag On,79,2009,206333,6ATrsVaZT7XjkCynxM8cTS,64,iSouljaBoyTellem,album,2008-01-01,False,0.546,0.712,3,-3.104,0,0.0269,0.000969,0,0.406,0.489,150.154,4
The-Dream,Rockin' That Thang,80,2009,221933,3oJJ1dQBxiFYGMQSe2SluG,39,Love Vs Money,album,2009-01-01,False,0.674,0.616,8,-4.757,1,0.0432,0.118,0,0.289,0.63,77.968,4
Zac Brown Band,Chicken Fried,81,2009,238146,0LQtEJt7x0s6knb6RKdRYc,81,The Foundation,album,2008-11-17,False,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,4
Beyonce,Diva,82,2009,200613,5Ssv6DaKrW0HczVqx6zXdl,66,I AM...SASHA FIERCE,album,2008-11-14,False,0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,4
Iyaz,Replay,83,2009,182306,5vlEg2fT4cFWAqU5QptIpQ,74,Replay,single,2009-08-11,False,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
Brad Paisley,Then,84,2009,321640,3XKbdb9GB6u3hsnUklQTav,63,American Saturday Night,album,2009-06-30,False,0.493,0.643,0,-5.19,1,0.0299,0.512,2.43e-05,0.209,0.3,144.704,4
Rob Thomas,Her Diamonds,85,2009,280000,3LtwmK1OfN0dGs9jf3qSjn,57,Cradlesong,album,2009-06-22,False,0.555,0.924,7,-4.93,1,0.0604,0.0159,0,0.075,0.865,87.606,4
Jesse McCartney Featuring Ludacris,How Do You Sleep?,86,2009,208333,3jkdQNkDTxxXtjSO4l0o1H,55,Departure - Recharged,album,2008,False,0.747,0.878,8,-3.533,1,0.0282,0.343,0,0.0872,0.557,106.004,4
Britney Spears,3,87,2009,213173,6pymOcrCnMuCWdgGVTvUgP,63,The Singles Collection,compilation,2009-11-09,False,0.697,0.709,5,-1.917,0,0.0455,0.0452,0,0.138,0.787,134.91,4
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,88,2009,357706,5UsLjwBaTHBX4ektWIr4XX,77,Relapse: Refill,album,2009-05-15,True,0.457,0.906,5,-2.278,0,0.342,0.249,0,0.182,0.54,104.02,5
Justin Bieber,One Time,89,2009,215866,6eDApnV9Jdb1nYahOlbbUh,74,My World,album,2009-01-01,False,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,4
Lady Antebellum,I Run To You,90,2009,256013,2YVCkTYJpv5jelYrHYoEG8,60,Lady Antebellum,album,2008-01-01,False,0.655,0.786,3,-4.451,1,0.034,0.163,5.99e-05,0.124,0.378,113.964,4
Kelly Clarkson,I Do Not Hook Up,91,2009,200346,2I5CPUnMIKjEXeg61OI9uV,48,All I Ever Wanted,album,2009-03-06,False,0.502,0.938,9,-3.114,1,0.13,0.00098,0,0.318,0.35,144.077,4
John Legend Featuring Andre 3000,Green Light,92,2009,284186,72by3Re4C3eVEBXvsUo0zV,58,Evolver,album,2008-10-27,False,0.622,0.882,9,-5.59,0,0.119,0.0912,0,0.216,0.762,77.506,4
Billy Currington,People Are Crazy,93,2009,231360,5JnLiuMgRAWoHYOhatFP3s,71,Little Bit Of Everything,album,2008-01-01,False,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,4
Zac Brown Band,Whatever It Is,94,2009,208213,33kKQSeqM2ecEcKF0LNSRT,70,The Foundation,album,2008-11-17,False,0.686,0.576,1,-6.633,1,0.0284,0.443,1.66e-05,0.212,0.72,83.969,4
Kelly Clarkson,Already Gone,95,2009,281560,4fq2YUONcgrCJ2SPndSeKC,59,All I Ever Wanted,album,2009-03-06,False,0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78.139,4
Kristinia DeBarge,Goodbye,96,2009,208133,5myYDbAurm1CW038qd4gL2,48,Exposed (Deluxe Edition),album,2009-01-01,False,0.777,0.82,1,-3.211,0,0.0471,0.00505,2.6e-05,0.142,0.651,119.987,4
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You),97,2009,235760,383B8ksM58jbV3HbiRJo0K,66,All Rebel Rockers,album,2008-09-09,False,0.738,0.983,5,-4.374,0,0.0852,0.0376,5.98e-06,0.183,0.957,92.998,4
Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,98,2009,215973,5lrOsw7J8R7shum7A4j36t,46,Pray IV Reign,album,2009-03-19,True,0.61,0.431,0,-6.73,1,0.294,0.03,0,0.099,0.463,136.878,3
Maxwell,Pretty Wings,99,2009,310520,22NLm3IIR9NLG0cUYtmHMW,63,BLACKsummers'night (2009),album,2009-07-07,False,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,4
The Fray,Never Say Never,100,2009,256613,57uX2vR9j9DNiANDYfXw1i,70,The Fray,album,2009-02-02,False,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,4
Ke$ha,TiK ToK,1,2010,199693,0HPD5WQqrq7wPWR7P7Dw1i,85,Animal (Expanded Edition),album,2010-01-01,False,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
Lady Antebellum,Need You Now,2,2010,277573,11EX5yhxr9Ihl3IN1asrfK,73,Need You Now,album,2010-01-01,False,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,4
Train,"Hey, Soul Sister",3,2010,216773,4HlFJV71xXKIGcU3kRyttv,85,"Save Me, San Francisco (Golden Gate Edition)",album,2010-12-01,False,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
Katy Perry Featuring Snoop Dogg,California Gurls,4,2010,234653,6KOEK6SeCEZOQkLj5M1PxH,74,Teenage Dream,album,2010-01-01,False,0.788,0.753,0,-3.71,1,0.0536,0.0038,0,0.18,0.403,125.005,4
Usher Featuring will.i.am,OMG,5,2010,269493,1bM50INir8voAkVoKuvEUI,74,Raymond v Raymond (Expanded Edition),album,2010-03-30,False,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4
B.o.B Featuring Hayley Williams,Airplanes,6,2010,180480,6lV2MSQmRIkycDScNtrBXO,79,B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,True,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
Eminem Featuring Rihanna,Love The Way You Lie,7,2010,263373,15JINEqzVMv3SvJTAXAKED,86,Recovery,album,2010-06-18,True,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
Lady Gaga,Bad Romance,8,2010,294573,0SiywuOBRcynK0uKGWdCnn,84,The Fame Monster (Deluxe Edition),album,2009-11-05,True,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4
Taio Cruz,Dynamite,9,2010,203866,1DqdF42leyFIzqNDv9CjId,73,Rokstarr,album,2010-01-01,False,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,4
Taio Cruz Featuring Ludacris,Break Your Heart,10,2010,186266,1CdqVF1ywD0ZO1zXtB9yWa,70,Rokstarr,album,2010-01-01,False,0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,4
B.o.B Featuring Bruno Mars,Nothin' On You,11,2010,268320,59dLtGBS26x7kc0rHbaPrq,80,B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,False,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4
Enrique Iglesias Featuring Pitbull,I Like It,12,2010,231786,4nVyHATevhl5RC6Qmoko5H,69,Euphoria (Standard US/Latin version),album,2010-01-01,False,0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129.011,4
Young Money Featuring Lloyd,BedRock,13,2010,288133,3iL2l5gUqyPS6vDwJFgJTR,72,We Are Young Money,album,2009-01-01,True,0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,4
Jason Derulo,In My Head,14,2010,199026,5BoIP8Eha5hwmRVURkC2Us,64,Jason Derulo,album,2010-02-24,False,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,4
Rihanna,Rude Boy,15,2010,222920,60jzFy6Nn4M0iD1d94oteF,80,Rated R,album,2009-11-20,True,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,4
Lady Gaga Featuring Beyonce,Telephone,16,2010,220626,7rl7ao5pb9BhvAzPdWStxi,74,The Fame Monster (Deluxe Edition),album,2009-08-05,False,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,4
Katy Perry,Teenage Dream,17,2010,227741,5jzKL4BDMClWqRguW5qZvh,77,Teenage Dream,album,2010-01-01,False,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,4
Bruno Mars,Just The Way You Are,18,2010,220734,7BqBn9nzAq8spo5e7cZ0dJ,87,Doo-Wops & Hooligans,album,2010-10-05,False,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
Mike Posner,Cooler Than Me,19,2010,213293,2V4bv1fNWfTcyRJKmej6Sj,78,31 Minutes to Takeoff,album,2010-08-09,False,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,4
The Black Eyed Peas,Imma Be,20,2010,258651,1l3uATPCcIpY9BDGPmuzzw,0,This Year's Hottest Hits,album,2010-08-02,False,0.595,0.352,5,-11.306,0,0.378,0.0981,0,0.359,0.497,183.956,4
Jay-Z + Alicia Keys,Empire State Of Mind,21,2010,276920,2igwFfvr1OAGX9SKDCPBwO,85,The Blueprint 3,album,2009-09-08,True,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4
Usher Featuring Pitbull,DJ Got Us Fallin' In Love,22,2010,220800,4356Typ82hUiFAynbLYbPn,83,Raymond v Raymond (Expanded Edition),album,2010-03-30,False,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,4
Travie McCoy Featuring Bruno Mars,Billionaire,23,2010,211160,2qPUnoasNe4Ep43emVXEig,75,Lazarus,album,2010-06-07,True,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
Eminem,Not Afraid,24,2010,248133,7Ie9W94M7OjPoZVV216Xus,82,Recovery,album,2010-06-18,True,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,5
Iyaz,Replay,25,2010,182306,5vlEg2fT4cFWAqU5QptIpQ,74,Replay,single,2009-08-11,False,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
David Guetta Featuring Akon,Sexy Chick,26,2010,194346,4MKzCHlZvkwJOQRNkdw4zq,61,One More Love,album,2010-11-22,False,0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,4
The Script,Breakeven,27,2010,261426,285hMzLhJwHVLe9QT9qilk,77,The Script,album,2008-07-14,False,0.63,0.696,10,-4.501,1,0.0242,0.144,0,0.0835,0.491,94.034,4
Ke$ha,Your Love Is My Drug,28,2010,179666,2DKE0fl2pO9dkljuupQZb5,0,Your love is my drug,single,2010-09-14,False,0.902,0.623,6,-6.647,1,0.0967,0.0626,0,0.0654,0.725,120.05,4
The Black Eyed Peas,I Gotta Feeling,29,2010,247500,6YkJL1mQ9PL25MZaaKtbN8,0,50 Hits Of Summer,album,2010-05-01,False,0.757,0.525,7,-7.258,1,0.0269,0.0162,0,0.0813,0.477,128.01,4
Owl City,Fireflies,30,2010,228346,3DamFFqW32WihKkTVlwTYQ,80,Ocean Eyes,album,2009-01-01,False,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
Trey Songz Featuring Fabolous,Say Aah,31,2010,207546,2fQ6sBFWaLv2Gxos4igHLy,64,Ready (Deluxe),album,2009-08-31,False,0.724,0.87,1,-3.614,0,0.113,0.00453,0,0.833,0.81,93.01,4
Drake,Find Your Love,32,2010,208946,4BycRneKmOs6MhYG9THsuX,70,Thank Me Later,album,2010-01-01,False,0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96.038,4
Lady Gaga,Alejandro,33,2010,274213,4lwavw59UjXUPJZtKNdFYp,70,The Fame Monster (Deluxe Edition),album,2009-08-05,False,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,4
Jason Derulo,Ridin' Solo,34,2010,215746,6BaxqcoEM9r3LXisTyJjST,66,Jason Derulo,album,2010-02-24,False,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,4
Nelly,Just A Dream,35,2010,237800,3ZdJffjzJWFimSQyxgGIxN,77,5.0,album,2010-11-12,False,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,4
Ludacris,How Low,36,2010,201586,1WtTLtofvcjQM3sXSMkDdX,64,Battle Of The Sexes (Deluxe),album,2010-01-01,True,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,4
Far*East Movement Featuring Cataracs & Dev,Like A G6,37,2010,216893,4DvhkX2ic4zWkQeWMwQ2qf,72,Free Wired,album,2010-01-01,False,0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,4
Timbaland Featuring Justin Timberlake,Carry Out,38,2010,232466,2DHc2e5bBn4UzY0ENVFrUl,71,Shock Value II,album,2009-01-01,False,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,5
Michael Buble,Haven't Met You Yet,39,2010,244586,4fIWvT19w9PR0VVBuPYpWA,73,Crazy Love,album,2009-10-06,False,0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,4
Flo Rida Featuring David Guetta,Club Can't Handle Me,40,2010,234560,6ebkx7Q5tTxrCxKq4GYj0Y,80,Only One Flo (Part 1),album,2010-11-24,False,0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
Jay Sean Featuring Lil Wayne,Down,41,2010,212506,6cmm1LMvZdB5zsCwX5BjqE,81,All Or Nothing,album,2009-01-01,False,0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
La Roux,Bulletproof,42,2010,205733,3kMrazSvILsgcwtidZd1Qd,74,La Roux,album,2009,False,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,4
Jason Derulo,Whatcha Say,43,2010,221253,67T6l4q3zVjC5nZZPXByU8,69,Jason Derulo,album,2010-02-24,False,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,4
Justin Bieber Featuring Ludacris,Baby,44,2010,214240,6epn3r7S14KUqlReYr77hA,84,My World 2.0,album,2010-01-01,False,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
Adam Lambert,Whataya Want From Me,45,2010,227320,2rDwdvBma1O1eLzo29p2cr,64,For Your Entertainment,album,2009-11-23,False,0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,4
Taylor Swift,Mine,46,2010,231706,7G0gBu6nLdhFDPRLc0HdDG,84,Speak Now (Taylor's Version),album,2023-07-07,False,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,4
